Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,451525,45,151,3,516901,591300
1,451525,45,151,3,523930,651145
2,431200,43,119,2,512864,591290
3,431200,43,119,2,509350,641325
4,431200,43,119,2,527384,591210
5,431200,43,119,2,508901,611215
6,361215,36,120,3,512379,601355
7,361215,36,120,3,545424,631465
8,361215,36,120,3,535342,641275
9,361215,36,120,3,524446,621630
10,361215,36,120,3,519400,651565
11,361215,36,120,3,521901,601415
12,361215,36,120,3,532364,631325
13,361215,36,120,3,515906,631785
14,361215,36,120,3,520882,601665
15,361215,36,120,3,521409,651280
16,361215,36,120,3,523907,611355
17,361215,36,120,3,526354,651225
18,361215,36,120,3,511378,581470
19,361215,36,120,3,521447,591425
20,361215,36,120,3,516409,611665
21,361215,36,120,3,504966,591760
22,361215,36,120,3,509888,591095
23,361215,36,120,3,514894,621170
24,361215,36,120,3,510918,601595
25,361215,36,120,3,528934,591515
26,361215,36,120,3,519862,621345
27,361215,36,120,3,515409,591475
28,361215,36,120,3,513899,561470
29,361215,36,120,3,519412,621540
30,361215,36,120,3,525832,601120
31,361215,36,120,3,511828,641315
32,361215,36,120,3,523855,641180
33,361215,36,120,3,540365,641245
34,361215,36,120,3,518421,601475
35,361215,36,120,3,508959,601500
36,361215,36,120,3,531892,601360
37,361215,36,120,3,531854,581205
38,361215,36,120,3,514500,611320
39,361215,36,120,3,535940,641395
40,361215,36,120,3,516442,601345
41,361215,36,120,3,510430,581640
42,361215,36,120,3,522909,601170
43,361215,36,120,3,517935,581565
44,361215,36,120,3,518342,621455
45,361215,36,120,3,511398,641135
46,361215,36,120,3,512832,601205
47,361215,36,120,3,536860,660890
48,361215,36,120,3,523866,621075
49,361215,36,120,3,525384,641200
50,361215,36,120,3,510914,591345
51,361215,36,120,3,520850,601085
52,361215,36,120,3,518903,601490
53,361215,36,120,3,523863,601405
54,361215,36,120,3,539398,621470
55,361215,36,120,3,529850,661325
56,361215,36,120,3,518425,601295
57,361215,36,120,3,527935,671200
58,361215,36,120,3,520448,691310
59,361215,36,120,3,530894,641225
60,361215,36,120,3,499427,611400
61,361215,36,120,3,504904,611115
62,361215,36,120,3,534866,631240
63,361215,36,120,3,528358,621235
64,361215,36,120,3,505921,631340
65,361215,36,120,3,536385,701605
66,361215,36,120,3,496392,611525
67,361215,36,120,3,534864,641190
68,361215,36,120,3,507393,631310
69,361215,36,120,3,527946,601570
70,361215,36,120,3,520878,611515
71,361215,36,120,3,513456,641315
72,361215,36,120,3,499370,631205
73,361215,36,120,3,501364,561445
74,361215,36,120,3,502392,591435
75,361215,36,120,3,509808,571030
76,361215,36,120,3,524453,631465
77,361215,36,120,3,525416,601445
78,361215,36,120,3,523389,611250
79,361215,36,120,3,506427,671355
80,361215,36,120,3,528825,631175
81,361215,36,120,3,514911,601410
82,361215,36,120,3,516408,631510
83,361215,36,120,3,525380,621135
84,361215,36,120,3,531882,631280
85,361215,36,120,3,533372,621210
86,361215,36,120,3,528426,601445
87,361215,36,120,3,519897,591380
88,361215,36,120,3,502934,691205
89,361215,36,120,3,515422,591450
90,361215,36,120,3,530840,601110
91,361215,36,120,3,508858,611155
92,361215,36,120,3,523407,601580
93,361215,36,120,3,503907,561555
94,361215,36,120,3,507925,591350
95,361215,36,120,3,518996,591270
96,361215,36,120,3,522396,621300
97,361215,36,120,3,512423,621395
98,361215,36,120,3,523917,641445
99,361215,36,120,3,535314,621230
