id,lecturer,duration,groups
0,16,1,"8;37"
1,26,1,"20;28;60"
2,38,1,"0;38"
3,27,1,"11;16"
4,17,1,"57"
5,36,1,"5;22;40"
6,9,1,"7"
7,30,1,"5"
8,29,1,"12;25;47"
9,32,1,"45"
10,30,1,"16;18"
11,24,1,"19;26;28"
12,14,1,"1"
13,7,1,"9;12"
14,35,1,"55;57"
15,14,1,"33;57"
16,23,1,"25"
17,25,1,"22"
18,1,1,"0;35"
19,14,1,"10;16;28"
20,33,1,"8;36;38"
21,14,1,"51"
22,2,1,"30;47"
23,37,1,"56;63"
24,16,1,"30;53"
25,29,1,"59"
26,20,1,"24"
27,38,1,"48"
28,5,1,"54"
29,37,1,"7;54;60"
30,32,1,"21;54"
31,33,1,"9;52;54"
32,6,1,"22;28"
33,37,1,"5;9"
34,29,1,"7;9;17"
35,18,1,"13"
36,17,1,"25;32;54"
37,5,1,"22;29;34"
38,26,1,"26;46"
39,38,1,"8;34"
40,10,1,"1;19"
41,0,1,"30"
42,15,1,"27;31"
43,6,1,"13;14"
44,39,1,"43;59"
45,31,1,"45;49"
46,20,1,"42;50"
47,5,1,"26;27"
48,2,1,"8;33;36"
49,10,1,"2;13;55"
50,33,1,"8"
51,26,1,"48;53"
52,36,1,"30"
53,29,1,"4;11;55"
54,32,1,"19;27;32"
55,17,1,"61"
56,11,1,"18;44;51"
57,17,1,"41;45"
58,27,1,"15;51"
59,31,1,"22;41;52"
60,25,1,"22;29"
61,18,1,"18;32"
62,33,1,"1;6;41"
63,2,1,"4;15;45"
64,9,1,"25;43"
65,22,1,"29"
66,10,1,"13;23;61"
67,28,1,"34;61"
68,32,1,"54;60"
69,22,1,"18;25;58"
70,0,1,"7;15;21"
71,35,1,"35"
72,25,1,"47"
73,35,1,"1;3;25"
74,18,1,"3"
75,27,1,"6;9;57"
76,27,1,"2;7;14"
77,6,1,"14;54;58"
78,7,1,"22;54"
79,31,1,"11;30;35"
80,29,1,"60"
81,20,1,"49"
82,1,1,"28;29;50"
83,21,1,"39"
84,17,1,"22;28;31"
85,35,1,"2;3;21"
86,5,1,"22;23;46"
87,19,1,"11;57"
88,18,1,"43;60"
89,27,1,"12;55;63"
90,21,1,"36"
91,21,1,"8;55"
92,21,1,"33"
93,14,1,"3;42;48"
94,29,1,"27"
95,32,1,"1;32;42"
96,37,1,"17;25"
97,7,1,"12;56;59"
98,6,1,"24;35;47"
99,0,1,"23;39"
100,24,1,"28"
101,22,1,"13;62"
102,28,1,"3"
103,32,1,"6;26"
104,25,1,"47;58"
105,28,1,"10;61"
106,7,1,"30"
107,33,1,"3;37;51"
108,7,1,"27"
109,10,1,"17"
110,38,1,"33"
111,25,1,"0;14;58"
112,8,1,"56"
113,1,1,"27;51"
114,31,1,"12;35"
115,25,1,"35;50"
116,16,1,"30;51"
117,21,1,"44"
118,16,1,"24"
119,35,1,"25;59"
120,20,1,"12;29;50"
121,27,1,"25"
122,10,1,"8;32;36"
123,10,1,"2;39;47"
124,8,1,"2;10"
125,2,1,"2;44"
126,0,1,"28;43"
127,26,1,"3"
128,2,1,"17;59"
129,13,1,"20;31"
130,14,1,"3;39"
131,37,1,"26;38;61"
132,16,1,"33;56;57"
133,39,1,"27"
134,24,1,"17"
135,6,1,"27;32"
136,33,1,"7"
137,26,1,"32;51"
138,5,1,"4;20;50"
139,28,1,"19;37;55"
140,38,1,"15"
141,32,1,"39;44"
142,20,1,"10;55"
143,19,1,"18;48"
144,21,1,"36;50;51"
145,14,1,"11;27"
146,35,1,"35"
147,16,1,"38;45"
148,6,1,"10;34"
149,34,1,"10;29"
150,9,1,"16;57"
151,17,1,"7;40"
152,23,1,"46;50"
153,6,1,"1;13;34"
154,13,1,"20"
155,5,1,"8;19;54"
156,8,1,"13;32;34"
157,27,1,"44;54;57"
158,33,1,"17;36;48"
159,37,1,"9;36;60"
160,1,1,"13;50"
161,38,1,"25"
162,22,1,"4;19;54"
163,28,1,"8;16"
164,30,1,"11"
165,16,1,"19;46;56"
166,25,1,"18;31;44"
167,34,1,"31;48;59"
168,22,1,"7;13;30"
169,32,1,"8;27;45"
170,39,1,"54"
171,36,1,"56"
172,4,1,"40"
173,22,1,"41;45"
174,19,1,"25"
175,20,1,"12;33"
176,35,1,"19;33;57"
177,8,1,"57"
178,32,1,"24;40"
179,36,1,"22"
180,27,1,"15;53;62"
181,28,1,"11;35;44"
182,19,1,"22"
183,2,1,"29;45;56"
184,5,1,"8;24;45"
185,25,1,"48"
186,17,1,"22;36;41"
187,12,1,"34;39"
188,17,1,"12;56"
189,30,1,"61"
190,8,1,"6"
191,20,1,"55;56"
192,23,1,"0;11;15"
193,32,1,"43;57"
194,37,1,"0;34;45"
195,5,1,"31"
196,17,1,"22;48"
197,23,1,"0;18;49"
198,18,1,"14"
199,6,1,"17;50;52"
