Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,1.54583e+06,154,570,26,1.66689e+06,1.89554e+06
1,1.54562e+06,154,554,17,1.65296e+06,1.77552e+06
2,1.47551e+06,147,544,14,1.65439e+06,1.80576e+06
3,1.46550e+06,146,541,19,1.62382e+06,1.81551e+06
4,1.46550e+06,146,541,19,1.66493e+06,1.88526e+06
5,1.46522e+06,146,511,21,1.65782e+06,1.82518e+06
6,1.46522e+06,146,511,21,1.62784e+06,1.82518e+06
7,1.46522e+06,146,511,21,1.68025e+06,1.85496e+06
8,1.46519e+06,146,512,14,1.66233e+06,1.95508e+06
9,1.40598e+06,140,589,18,1.61185e+06,1.77576e+06
10,1.40598e+06,140,589,18,1.68271e+06,1.84519e+06
11,1.40598e+06,140,589,18,1.64284e+06,1.73561e+06
12,1.40598e+06,140,589,18,1.62219e+06,1.78517e+06
13,1.40598e+06,140,589,18,1.59982e+06,1.71508e+06
14,1.40598e+06,140,589,18,1.61025e+06,1.77543e+06
15,1.40598e+06,140,589,18,1.63986e+06,1.79524e+06
16,1.40598e+06,140,589,18,1.62184e+06,1.79543e+06
17,1.40530e+06,140,522,17,1.65876e+06,1.79581e+06
18,1.40530e+06,140,522,17,1.66433e+06,1.80604e+06
19,1.40530e+06,140,522,17,1.66378e+06,1.8651e+06
20,1.40530e+06,140,522,17,1.63977e+06,1.79522e+06
21,1.40530e+06,140,522,17,1.64286e+06,1.76558e+06
22,1.40530e+06,140,522,17,1.68016e+06,1.8849e+06
23,1.40530e+06,140,522,17,1.64335e+06,1.75507e+06
24,1.40530e+06,140,522,17,1.66723e+06,1.78486e+06
25,1.40530e+06,140,522,17,1.66387e+06,1.82508e+06
26,1.40530e+06,140,522,17,1.64623e+06,1.7653e+06
27,1.40530e+06,140,522,17,1.67328e+06,1.84548e+06
28,1.40530e+06,140,522,17,1.66276e+06,1.84524e+06
29,1.40530e+06,140,522,17,1.64378e+06,1.83498e+06
30,1.40530e+06,140,522,17,1.67534e+06,1.84478e+06
31,1.40530e+06,140,522,17,1.66294e+06,1.78570e+06
32,1.40530e+06,140,522,17,1.6473e+06,1.82516e+06
33,1.40530e+06,140,522,17,1.65828e+06,1.74533e+06
34,1.40530e+06,140,522,17,1.65739e+06,1.87518e+06
35,1.40530e+06,140,522,17,1.66289e+06,1.81538e+06
36,1.40530e+06,140,522,17,1.63438e+06,1.76497e+06
37,1.40530e+06,140,522,17,1.65226e+06,1.78541e+06
38,1.40530e+06,140,522,17,1.62631e+06,1.93488e+06
39,1.40530e+06,140,522,17,1.65284e+06,1.83478e+06
40,1.40530e+06,140,522,17,1.6764e+06,1.86494e+06
41,1.40530e+06,140,522,17,1.65433e+06,1.8157e+06
42,1.40530e+06,140,522,17,1.59994e+06,1.77548e+06
43,1.40530e+06,140,522,17,1.64241e+06,1.96536e+06
44,1.40530e+06,140,522,17,1.65811e+06,1.88509e+06
45,1.40530e+06,140,522,17,1.65387e+06,1.95484e+06
46,1.40530e+06,140,522,17,1.64375e+06,1.84478e+06
47,1.40530e+06,140,522,17,1.62083e+06,1.7153e+06
48,1.40530e+06,140,522,17,1.63543e+06,1.84498e+06
49,1.40530e+06,140,522,17,1.67626e+06,1.86534e+06
50,1.40530e+06,140,522,17,1.67729e+06,1.84534e+06
51,1.40530e+06,140,522,17,1.65785e+06,1.8147e+06
52,1.40530e+06,140,522,17,1.59991e+06,1.75487e+06
53,1.40530e+06,140,522,17,1.65224e+06,1.80510e+06
54,1.40530e+06,140,522,17,1.67477e+06,1.86498e+06
55,1.40530e+06,140,522,17,1.66724e+06,1.90482e+06
56,1.40530e+06,140,522,17,1.63974e+06,1.81512e+06
57,1.40530e+06,140,522,17,1.64328e+06,1.84554e+06
58,1.40530e+06,140,522,17,1.67041e+06,1.8656e+06
59,1.40530e+06,140,522,17,1.64637e+06,1.79566e+06
60,1.40530e+06,140,522,17,1.69423e+06,1.87525e+06
61,1.40530e+06,140,522,17,1.65938e+06,1.79560e+06
62,1.40530e+06,140,522,17,1.66236e+06,1.83556e+06
63,1.40530e+06,140,522,17,1.64715e+06,1.90521e+06
64,1.40530e+06,140,522,17,1.67583e+06,1.91608e+06
65,1.40530e+06,140,522,17,1.67036e+06,1.79492e+06
66,1.40530e+06,140,522,17,1.6059e+06,1.85535e+06
67,1.40530e+06,140,522,17,1.68825e+06,1.86518e+06
68,1.40530e+06,140,522,17,1.61784e+06,1.90546e+06
69,1.40530e+06,140,522,17,1.6419e+06,1.84532e+06
70,1.40530e+06,140,522,17,1.63482e+06,1.8255e+06
71,1.40530e+06,140,522,17,1.6324e+06,1.82545e+06
72,1.40530e+06,140,522,17,1.65124e+06,1.89534e+06
73,1.40530e+06,140,522,17,1.64383e+06,1.78535e+06
74,1.40530e+06,140,522,17,1.63581e+06,1.73568e+06
75,1.40530e+06,140,522,17,1.64785e+06,1.84529e+06
76,1.40530e+06,140,522,17,1.64690e+06,1.78454e+06
77,1.40530e+06,140,522,17,1.65932e+06,1.84508e+06
78,1.40530e+06,140,522,17,1.65986e+06,1.82613e+06
79,1.40530e+06,140,522,17,1.59129e+06,1.74462e+06
80,1.40530e+06,140,522,17,1.65692e+06,1.7856e+06
81,1.40530e+06,140,522,17,1.62031e+06,1.74473e+06
82,1.40530e+06,140,522,17,1.64433e+06,1.85496e+06
83,1.40530e+06,140,522,17,1.68031e+06,1.80578e+06
84,1.40530e+06,140,522,17,1.68074e+06,1.79568e+06
85,1.40530e+06,140,522,17,1.62429e+06,1.85553e+06
86,1.40530e+06,140,522,17,1.65374e+06,1.77572e+06
87,1.40530e+06,140,522,17,1.69315e+06,1.845e+06
88,1.40530e+06,140,522,17,1.66135e+06,1.85504e+06
89,1.40530e+06,140,522,17,1.65077e+06,1.89515e+06
90,1.40530e+06,140,522,17,1.62176e+06,1.76522e+06
91,1.40530e+06,140,522,17,1.64732e+06,1.84503e+06
92,1.40530e+06,140,522,17,1.62644e+06,1.83516e+06
93,1.40530e+06,140,522,17,1.63874e+06,1.7454e+06
94,1.40530e+06,140,522,17,1.63077e+06,1.76486e+06
95,1.40530e+06,140,522,17,1.63664e+06,1.79528e+06
96,1.40530e+06,140,522,17,1.68022e+06,1.83498e+06
97,1.40530e+06,140,522,17,1.6332e+06,1.7657e+06
98,1.40530e+06,140,522,17,1.64141e+06,1.86528e+06
99,1.40530e+06,140,522,17,1.64829e+06,1.89528e+06
