Course,Room,Day,Period,Timeslot
76,26,0,5,5
283,14,1,3,12
220,37,4,1,37
293,36,1,2,11
2,13,3,0,27
375,15,4,7,43
47,35,4,1,37
300,51,2,2,20
137,71,0,2,2
246,45,4,6,42
130,22,3,7,34
59,14,3,5,32
78,67,2,6,24
30,76,0,8,8
195,33,4,3,39
119,73,2,8,26
311,14,2,6,24
201,40,4,8,44
158,32,2,5,23
169,1,3,8,35
256,78,4,2,38
56,70,4,4,40
357,56,1,5,14
70,66,2,0,18
279,44,2,2,20
55,68,2,0,18
127,47,2,8,26
239,0,4,2,38
398,18,4,6,42
313,28,3,1,28
155,21,1,4,13
299,26,2,8,26
386,56,4,6,42
99,40,2,1,19
316,47,4,6,42
394,48,4,4,40
255,55,2,5,23
271,59,2,6,24
290,17,3,1,28
236,21,2,2,20
363,77,1,1,10
270,31,2,6,24
296,28,1,1,10
98,11,4,1,37
211,55,4,2,38
292,58,4,5,41
124,8,3,8,35
381,7,4,3,39
378,71,0,8,8
314,66,2,7,25
185,40,3,0,27
118,55,1,5,14
173,38,2,4,22
71,75,3,5,32
133,76,4,1,37
18,3,1,5,14
73,49,1,7,16
150,53,2,5,23
153,20,0,4,4
338,69,0,4,4
200,10,0,6,6
24,58,3,2,29
129,11,2,1,19
273,12,0,0,0
140,23,1,3,12
50,52,0,1,1
58,49,4,3,39
21,42,0,3,3
177,15,2,8,26
147,58,3,6,33
87,36,3,2,29
251,2,1,1,10
218,78,0,5,5
9,46,0,2,2
101,13,1,3,12
244,30,1,3,12
232,77,2,0,18
35,64,3,1,28
304,2,4,1,37
122,28,1,8,17
81,60,2,8,26
194,42,1,7,16
160,33,1,1,10
277,2,0,5,5
212,54,0,5,5
337,49,1,7,16
179,42,2,6,24
266,48,1,1,10
103,59,2,6,24
197,25,0,2,2
333,7,4,1,37
33,62,4,3,39
145,21,1,5,14
190,69,2,7,25
174,50,4,0,36
168,42,1,5,14
151,21,4,7,43
214,4,1,4,13
224,15,2,4,22
249,34,3,8,35
146,19,3,5,32
359,78,0,1,1
136,62,3,1,28
193,38,0,6,6
19,77,2,8,26
8,55,1,8,17
157,68,4,5,41
149,64,3,8,35
72,17,2,4,22
307,70,3,8,35
182,70,0,7,7
319,28,1,4,13
328,76,4,1,37
260,68,4,4,40
106,74,4,4,40
165,2,1,4,13
51,40,1,2,11
105,67,2,3,21
183,66,1,1,10
52,6,3,1,28
126,28,3,8,35
27,66,1,2,11
6,71,1,8,17
66,22,1,5,14
107,9,1,8,17
116,9,3,7,34
349,28,2,1,19
332,37,0,6,6
391,40,3,3,30
360,58,1,2,11
65,41,3,8,35
80,78,2,3,21
217,56,3,7,34
11,40,4,2,38
242,67,4,5,41
365,50,0,6,6
288,72,0,2,2
340,35,3,5,32
320,13,0,7,7
241,54,3,0,27
29,0,2,3,21
202,8,1,1,10
385,76,1,7,16
269,4,2,1,19
40,77,2,0,18
392,47,2,6,24
94,22,4,2,38
85,36,3,1,28
312,34,2,3,21
297,68,0,7,7
113,79,4,8,44
263,49,2,4,22
294,8,4,5,41
7,19,4,4,40
237,24,3,3,30
34,69,0,4,4
75,29,4,5,41
170,7,4,7,43
345,55,4,2,38
159,26,2,5,23
291,47,3,3,30
171,67,1,7,16
389,44,1,4,13
387,50,3,3,30
325,15,4,8,44
231,47,4,6,42
156,3,3,1,28
54,39,4,8,44
60,18,3,4,31
323,63,0,7,7
274,59,2,0,18
258,33,3,4,31
301,13,4,5,41
131,75,2,4,22
366,50,3,4,31
371,1,1,0,9
252,68,3,7,34
317,32,4,3,39
96,49,1,5,14
61,68,4,2,38
139,72,3,8,35
68,0,2,0,18
295,64,1,5,14
62,75,4,2,38
38,72,4,7,43
175,74,1,0,9
3,37,2,1,19
361,73,3,6,33
399,40,2,0,18
322,27,1,8,17
102,75,3,7,34
324,53,4,0,36
25,57,0,0,0
221,12,3,6,33
17,48,3,6,33
189,3,0,2,2
229,17,2,7,25
368,27,0,1,1
144,59,3,3,30
57,74,1,2,11
77,59,0,7,7
272,26,2,6,24
163,3,1,2,11
205,60,2,5,23
230,33,3,6,33
369,77,0,1,1
257,34,0,4,4
117,79,1,4,13
49,17,1,3,12
26,65,2,7,25
388,26,1,4,13
16,6,3,6,33
372,0,1,6,15
339,78,1,3,12
138,77,2,6,24
233,8,3,1,28
302,62,1,4,13
234,64,3,6,33
321,36,4,7,43
284,13,1,0,9
250,4,1,5,14
278,6,2,3,21
216,12,4,7,43
13,7,1,6,15
32,62,4,5,41
204,10,1,2,11
31,63,4,4,40
172,3,2,2,20
305,49,2,5,23
379,37,3,4,31
42,39,4,4,40
191,8,4,2,38
367,4,2,6,24
226,34,3,6,33
309,56,2,1,19
14,79,2,0,18
213,39,2,4,22
286,31,3,6,33
225,48,3,7,34
285,79,1,8,17
64,27,0,7,7
10,54,2,4,22
0,62,2,6,24
352,8,4,0,36
46,44,3,4,31
264,74,2,3,21
393,4,0,3,3
280,32,2,8,26
247,1,1,1,10
84,59,1,6,15
335,18,0,8,8
353,78,4,5,41
376,8,3,4,31
370,73,0,4,4
390,39,0,8,8
22,70,3,0,27
362,78,3,0,27
125,14,0,2,2
164,17,3,0,27
245,42,4,0,36
348,22,3,4,31
347,25,3,2,29
196,78,0,0,0
91,61,3,7,34
282,34,0,7,7
223,39,2,4,22
329,68,4,7,43
248,64,3,2,29
373,17,0,3,3
351,25,0,4,4
268,24,1,1,10
227,62,4,3,39
380,68,3,8,35
276,56,2,0,18
346,14,2,2,20
306,7,0,1,1
93,1,3,1,28
377,34,1,7,16
261,0,1,7,16
184,31,2,2,20
253,33,0,8,8
41,25,3,0,27
63,44,0,4,4
383,18,1,6,15
90,71,0,6,6
396,32,2,2,20
275,14,1,8,17
132,48,0,4,4
243,57,1,6,15
215,37,4,6,42
210,70,3,8,35
69,56,0,7,7
79,78,1,8,17
148,74,3,8,35
298,26,0,4,4
303,78,2,4,22
384,2,4,5,41
228,11,2,6,24
43,12,0,1,1
181,15,4,4,40
108,31,3,8,35
265,8,3,4,31
208,34,4,1,37
82,14,0,2,2
342,60,1,2,11
281,21,4,5,41
259,55,1,7,16
111,5,1,0,9
341,27,3,0,27
267,3,4,7,43
350,3,0,7,7
53,33,1,6,15
178,6,2,5,23
4,60,3,7,34
134,42,2,1,19
37,43,0,3,3
83,48,1,7,16
166,70,4,8,44
289,69,4,0,36
176,5,2,1,19
128,53,2,1,19
235,7,1,4,13
48,4,2,5,23
12,28,4,0,36
334,46,2,6,24
209,4,4,6,42
327,47,0,8,8
143,50,4,5,41
374,54,3,4,31
238,56,2,2,20
326,72,3,7,34
104,52,0,0,0
74,52,2,8,26
354,36,3,2,29
121,78,2,3,21
167,32,1,8,17
114,58,3,7,34
45,36,2,8,26
186,55,0,7,7
358,75,0,3,3
135,28,0,1,1
356,77,4,3,39
112,43,4,0,36
86,1,0,0,0
180,34,0,6,6
88,49,1,8,17
262,73,1,4,13
315,65,2,0,18
110,32,1,4,13
287,14,1,4,13
308,20,0,5,5
331,65,3,5,32
188,48,4,6,42
199,34,4,2,38
92,7,0,7,7
219,23,1,8,17
336,65,1,3,12
15,42,2,5,23
187,68,1,8,17
95,78,4,1,37
109,30,2,3,21
141,11,1,3,12
330,8,0,4,4
67,10,1,5,14
89,78,2,2,20
20,73,1,7,16
203,49,1,0,9
1,30,4,1,37
23,55,4,8,44
397,24,3,0,27
355,51,3,6,33
152,74,4,1,37
364,38,0,8,8
161,49,1,7,16
142,8,1,2,11
192,66,3,5,32
120,27,2,7,25
28,25,0,4,4
318,68,3,0,27
344,12,4,7,43
39,33,4,8,44
162,73,1,6,15
36,26,2,4,22
240,70,2,3,21
154,45,2,5,23
310,47,1,7,16
395,17,2,4,22
115,40,2,3,21
222,32,0,5,5
44,53,3,6,33
198,38,4,8,44
123,56,2,7,25
5,35,2,4,22
207,61,3,7,34
97,78,2,5,23
382,69,2,5,23
206,58,0,0,0
100,31,3,7,34
